PIDN,Ca,P,pH,SOC,Sand
09gt9UK5,-0.521095317322,-0.24485532494,-1.18357977098,-0.566655062742,1.47171589643
0BVvxJ6a,0.551038361033,0.480709040452,0.881478773338,0.211587459325,-1.30842721586
0KbdgApg,-0.144947403493,-0.074510572402,0.0540701415379,0.25829807323,-0.840690789454
0MnuuduB,-0.319110382175,-0.385943100936,-0.205909218532,0.397232143905,-0.804223626987
0PcIsF9z,-0.507637860517,-0.346195391995,-1.65687603015,0.196824514543,-0.0387659748527
0ShTFLYJ,-0.449400196776,-0.609792984004,-0.560868683753,-0.939651641924,0.651892413485
0XZh9jka,-0.519808709907,-0.959711469475,-1.03976583365,0.909168270857,-0.670391641659
0Y7Wegri,-0.406501978165,0.985629863579,0.435283886169,0.060646999591,0.0938680460494
0dTqplIM,0.190971266879,-0.0728550743182,0.539175867073,0.319706945556,-1.06459065092
0lNiZicC,-0.627483643708,-0.357296083303,-1.42417932689,-0.639290326487,0.511051115053
0rGeJ0QN,-0.556443724802,-0.0478644355795,-0.585266692225,0.105135672426,-0.087898989667
0sXI9ytQ,-0.552515449274,-0.0264826764163,-0.339888581719,-0.793494559362,1.8045688163
0ukt4aP6,0.64026978424,0.276001479436,1.45714872369,-0.853922704515,0.557909285231
1AGspb8f,-0.412721467432,-0.68091412866,-1.07604983211,-0.102439298201,-1.10567977719
1Csy0gvE,-0.422016278419,0.0404723319064,-0.107293170258,-0.628205459639,0.745540190524
1Ic2hly1,-0.394552713559,0.0798234273134,-0.476335062778,-0.0494476713603,0.540258421456
1PPbaTwt,-0.350338475715,0.205646924768,-0.498983019642,-0.48835345115,1.01429625212
1SO5VJNy,-0.315630683898,-0.00884599259305,0.128655325568,-0.429259189711,0.558206299309
1arHxK3Y,0.763675984115,0.624552856426,1.65274894835,0.214575269504,-0.216271900036
1fCW4Bba,-0.446145215926,0.215786095948,-0.437320748324,-0.627937933899,0.977391236565
1qDZNvIm,-0.546816310351,-0.122708048118,-0.0565160664107,-0.813126033368,1.33129617294
28LYJC2V,-0.389383273484,-0.0663098810552,-0.972222652646,0.505498415974,-0.744834302001
2CzACvQq,0.4496673702,0.729586504975,1.71862541475,-0.395490602243,-0.372357095156
2FT3crfv,-0.206399365345,-0.303765493765,0.0800197452157,0.0965084205298,-0.774445094974
2Fy2uHVg,-0.416156365893,0.0270175439572,-0.430986624461,-0.578440887968,-0.603939010274
2MkMEApm,-0.415242348769,0.142937672411,-0.125624157537,-0.682689118352,1.25929938237
2NDGWEOe,0.684007702961,0.548175294044,1.64868576356,-0.750641290293,-0.158333612315
2NyyCiqn,-0.304675124063,-0.0311990119891,0.0779725740733,-0.439178718621,0.580066596322
2QRzIb84,0.263196472877,0.885336663811,1.71098695395,-0.509948934109,0.359511059865
2QcbdrUZ,-0.579654823333,-0.523948367387,-0.234046588648,-0.370925124936,0.691341682842
2YgAimWK,-0.339717540268,0.120223791299,-0.0143443329781,-0.576924920202,1.00718180714
2cx85d9H,0.0318914489027,-0.112235538752,-0.148591158957,0.375227207781,-1.06780995497
2homMXMV,-0.473566683964,-0.0692542280645,-1.3890752724,0.247382318048,0.775565269469
